"","Year","Name","Num"
"1",1,6,6
"2",2,5,5
"3",3,8,8
"4",4,5,5
"5",5,5,5
"6",6,6,6
"7",7,4,4
"8",8,6,6
"9",9,8,8
"10",10,7,7
"11",11,8,8
"12",12,6,6
"13",13,9,9
"14",14,5,5
"15",15,7,7
"16",16,7,7
"17",17,9,9
"18",18,4,4
"19",19,10,10
"20",20,11,11
"21",21,8,8
"22",22,5,5
"23",23,5,5
"24",24,7,7
"25",25,6,6
"26",26,5,5
"27",27,8,8
"28",28,12,12
"29",29,8,8
"30",30,11,11
"31",31,7,7
"32",32,6,6
"33",33,4,4
"34",34,4,4
"35",35,8,8
"36",36,12,12
"37",37,19,19
"38",38,9,9
"39",39,9,9
"40",40,4,4
"41",41,10,10
"42",42,9,9
"43",43,12,12
"44",44,7,7
"45",45,6,6
"46",46,7,7
"47",47,6,6
"48",48,11,11
"49",49,10,10
"50",50,7,7
"51",51,13,13
"52",52,4,4
"53",53,10,10
"54",54,6,6
"55",55,5,5
"56",56,11,11
"57",57,5,5
"58",58,10,10
"59",59,12,12
"60",60,5,5
"61",61,6,6
"62",62,7,7
"63",63,6,6
"64",64,1,1
"65",65,6,6
"66",66,15,15
"67",67,4,4
"68",68,6,6
"69",69,5,5
"70",70,5,5
"71",71,7,7
"72",72,5,5
"73",73,8,8
"74",74,11,11
"75",75,4,4
"76",76,11,11
"77",77,8,8
"78",78,6,6
"79",79,5,5
"80",80,3,3
"81",81,9,9
"82",82,11,11
"83",83,21,21
"84",84,11,11
"85",85,6,6
"86",86,16,16
"87",87,9,9
"88",88,8,8
"89",89,5,5
"90",90,8,8
"91",91,6,6
"92",92,10,10
"93",93,10,10
"94",94,11,11
"95",95,11,11
"96",96,6,6
"97",97,9,9
"98",98,9,9
"99",99,12,12
"100",100,13,13
"101",101,10,10
"102",102,7,7
"103",103,14,14
"104",104,11,11
"105",105,12,12
"106",106,8,8
"107",107,8,8
"108",108,10,10
"109",109,11,11
"110",110,7,7
"111",111,11,11
"112",112,5,5
"113",113,9,9
"114",114,12,12
"115",115,5,5
"116",116,11,11
"117",117,26,26
"118",118,15,15
"119",119,29,29
"120",120,19,19
"121",121,22,22
"122",122,19,19
"123",123,17,17
"124",124,20,20
"125",125,23,23
"126",126,21,21
"127",127,15,15
"128",128,24,24
"129",129,20,20
"130",130,18,18
"131",131,22,22
"132",132,8,8
"133",133,6,6
"134",134,20,20
"135",135,14,14
"136",136,10,10
"137",137,14,14
"138",138,12,12
"139",139,15,15
"140",140,16,16
"141",141,12,12
"142",142,10,10
"143",143,10,10
"144",144,12,12
"145",145,21,21
"146",146,13,13
"147",147,9,9
"148",148,14,14
"149",149,17,17
"150",150,19,19
"151",151,17,17
"152",152,14,14
"153",153,21,21
"154",154,16,16
"155",155,31,31
"156",156,10,10
"157",157,17,17
"158",158,17,17
"159",159,11,11
"160",160,20,20
"161",161,20,20
